Sygnatura czasowa	"1.	Podaj swoj¹ p³eæ. Zaznacz odpowiedŸ. "	"2.	Podaj swój wiek (w latach):"	"3.	Do jakiej kategorii (I) nale¿¹ uprawiane przez Ciebie sporty?"	"4.	Do jakiej kategorii (II) nale¿¹ uprawiane przez Ciebie sporty?"	"5.	Do jakiej kategorii (III) nale¿¹ uprawiane przez Ciebie sporty? "	"6.	Jaki procent miesiêcznych wydatków przeznaczasz na sport?   "	"7.	Scharakteryzuj najczêœciej u¿ywany przez Ciebie sprzêt sportowy. "	"8.	Scharakteryzuj najczêœciej u¿ywan¹ przez Ciebie odzie¿ sportow¹. "	"9.	Na co przeznaczasz zasadnicz¹ czêœæ swoich wakacji (urlopu)? "	"10.	Podaj g³ówne czynniki mobilizuj¹ce Ciê do podejmowania wysi³ku fizycznego. "	"11.	Czy palisz papierosy? Zaznacz odpowiedŸ. "	"12.	Okreœl przeciêtn¹ d³ugoœæ Twego snu nocnego?  "	"13.	Oceñ swoje dotychczasowe postêpy w nauce i pracy. "	"14.	Okreœl poziom swojej sprawnoœci fizycznej. "	"15.	Okreœl poziom zadowolenia ze swojego ¿ycia. "	"16.	Scharakteryzuj stan swojego zdrowia. "
11-26-2014 0:36:33	mê¿czyzna	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	poni¿ej 5 h	dobre	wysoka	przeciêtny	bardzo dobry
11-26-2014 0:37:19	mê¿czyzna	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	bardzo dobry
11-26-2014 0:38:08	mê¿czyzna	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	powy¿ej 20 %	markowy, wysokiej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	przeciêtny	bardzo dobry
11-26-2014 0:38:45	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	wysoka	wysoki	bardzo dobry
11-26-2014 0:46:09	kobieta	21	sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie, sen i lektura	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	powy¿ej 8 h	bardzo dobre	œrednia	przeciêtny	dobry
11-26-2014 0:47:12	kobieta	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	niemarkowa	sen i lektura	troska o wygl¹d	wcale	5-6 h	dobre	œrednia	niski	przeciêtny
11-26-2014 0:50:37	mê¿czyzna	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	dobre	niska	wysoki	przeciêtny
11-26-2014 0:58:46	mê¿czyzna		sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%, 5 – 20 %	markowy, œredniej klasy	niemarkowa	spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	powy¿ej 8 h	dobre	œrednia	przeciêtny	przeciêtny
11-26-2014 1:00:17	mê¿czyzna	21	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	5 – 20 %	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	poni¿ej 5 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 1:00:35	kobieta	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	powy¿ej 20 %	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	przeciêtne	wysoka	przeciêtny	bardzo dobry, dobry
11-26-2014 1:03:20	mê¿czyzna	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	wysoki	bardzo dobry
11-26-2014 1:04:50	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	sen i lektura	troska o wygl¹d	wcale	5-6 h	bardzo dobre	œrednia	wysoki	dobry
